station_name,line_name,transport_mode,operator_name,is_step_free_street_to_train,sequence_number,direction_name
Farringdon Underground Station,Metropolitan,tube,Transport for London,False,6,outbound
Barbican Underground Station,Metropolitan,tube,Transport for London,False,7,outbound
Moorgate Underground Station,Metropolitan,tube,Transport for London,False,8,outbound
Liverpool Street Underground Station,Metropolitan,tube,Transport for London,False,9,outbound
Aldgate Underground Station,Metropolitan,tube,Transport for London,False,10,outbound
Wembley Park Underground Station,Metropolitan,tube,Transport for London,False,1,outbound
Willesden Green Underground Station,Metropolitan,tube,Transport for London,False,2,outbound
Finchley Road Underground Station,Metropolitan,tube,Transport for London,False,3,outbound
Aldgate Underground Station,Metropolitan,tube,Transport for London,False,1,inbound
Liverpool Street Underground Station,Metropolitan,tube,Transport for London,False,2,inbound
Moorgate Underground Station,Metropolitan,tube,Transport for London,False,3,inbound
Barbican Underground Station,Metropolitan,tube,Transport for London,False,4,inbound
Farringdon Underground Station,Metropolitan,tube,Transport for London,False,5,inbound
King's Cross St. Pancras Underground Station,Metropolitan,tube,Transport for London,False,6,inbound
Euston Square Underground Station,Metropolitan,tube,Transport for London,False,7,inbound
Great Portland Street Underground Station,Metropolitan,tube,Transport for London,False,8,inbound
Baker Street Underground Station,Metropolitan,tube,Transport for London,False,9,inbound
Finchley Road Underground Station,Metropolitan,tube,Transport for London,False,10,inbound
Wembley Park Underground Station,Metropolitan,tube,Transport for London,False,11,inbound
Preston Road Underground Station,Metropolitan,tube,Transport for London,False,12,inbound
Northwick Park Underground Station,Metropolitan,tube,Transport for London,False,13,inbound
Harrow-on-the-Hill Underground Station,Metropolitan,tube,Transport for London,False,14,inbound
Harrow-on-the-Hill Underground Station,Metropolitan,tube,Transport for London,False,1,inbound
North Harrow Underground Station,Metropolitan,tube,Transport for London,False,2,inbound
Pinner Underground Station,Metropolitan,tube,Transport for London,False,3,inbound
Northwood Hills Underground Station,Metropolitan,tube,Transport for London,False,4,inbound
Northwood Underground Station,Metropolitan,tube,Transport for London,False,5,inbound
Moor Park Underground Station,Metropolitan,tube,Transport for London,False,6,inbound
Moor Park Underground Station,Metropolitan,tube,Transport for London,False,1,inbound
Rickmansworth Underground Station,Metropolitan,tube,Transport for London,False,2,inbound
Chorleywood Underground Station,Metropolitan,tube,Transport for London,False,3,inbound
Chalfont & Latimer Underground Station,Metropolitan,tube,Transport for London,False,4,inbound
Chalfont & Latimer Underground Station,Metropolitan,tube,Transport for London,False,1,inbound
Chesham Underground Station,Metropolitan,tube,Transport for London,False,2,inbound
Chalfont & Latimer Underground Station,Metropolitan,tube,Transport for London,False,1,inbound
Amersham Underground Station,Metropolitan,tube,Transport for London,False,2,inbound
Wembley Park Underground Station,Metropolitan,tube,Transport for London,False,1,outbound
Finchley Road Underground Station,Metropolitan,tube,Transport for London,False,2,outbound
Chesham Underground Station,Metropolitan,tube,Transport for London,False,1,outbound
Chalfont & Latimer Underground Station,Metropolitan,tube,Transport for London,False,2,outbound
Harrow-on-the-Hill Underground Station,Metropolitan,tube,Transport for London,False,1,inbound
West Harrow Underground Station,Metropolitan,tube,Transport for London,False,2,inbound
Rayners Lane Underground Station,Metropolitan,tube,Transport for London,False,3,inbound
Eastcote Underground Station,Metropolitan,tube,Transport for London,False,4,inbound
Ruislip Manor Underground Station,Metropolitan,tube,Transport for London,False,5,inbound
Ruislip Underground Station,Metropolitan,tube,Transport for London,False,6,inbound
Ickenham Underground Station,Metropolitan,tube,Transport for London,False,7,inbound
Hillingdon Underground Station,Metropolitan,tube,Transport for London,False,8,inbound
Uxbridge Underground Station,Metropolitan,tube,Transport for London,False,9,inbound
Uxbridge Underground Station,Metropolitan,tube,Transport for London,False,1,outbound
Hillingdon Underground Station,Metropolitan,tube,Transport for London,False,2,outbound
Ickenham Underground Station,Metropolitan,tube,Transport for London,False,3,outbound
Ruislip Underground Station,Metropolitan,tube,Transport for London,False,4,outbound
Ruislip Manor Underground Station,Metropolitan,tube,Transport for London,False,5,outbound
Eastcote Underground Station,Metropolitan,tube,Transport for London,False,6,outbound
Rayners Lane Underground Station,Metropolitan,tube,Transport for London,False,7,outbound
West Harrow Underground Station,Metropolitan,tube,Transport for London,False,8,outbound
Harrow-on-the-Hill Underground Station,Metropolitan,tube,Transport for London,False,9,outbound
Moor Park Underground Station,Metropolitan,tube,Transport for London,False,1,inbound
Croxley Underground Station,Metropolitan,tube,Transport for London,False,2,inbound
Watford Underground Station,Metropolitan,tube,Transport for London,False,3,inbound
Watford Underground Station,Metropolitan,tube,Transport for London,False,1,outbound
Croxley Underground Station,Metropolitan,tube,Transport for London,False,2,outbound
Moor Park Underground Station,Metropolitan,tube,Transport for London,False,3,outbound
High Barnet Underground Station,Northern,tube,Transport for London,False,1,inbound
Totteridge & Whetstone Underground Station,Northern,tube,Transport for London,False,2,inbound
Woodside Park Underground Station,Northern,tube,Transport for London,False,3,inbound
West Finchley Underground Station,Northern,tube,Transport for London,False,4,inbound
Finchley Central Underground Station,Northern,tube,Transport for London,False,5,inbound
Finchley Central Underground Station,Northern,tube,Transport for London,False,1,inbound
East Finchley Underground Station,Northern,tube,Transport for London,False,2,inbound
Highgate Underground Station,Northern,tube,Transport for London,False,3,inbound
Archway Underground Station,Northern,tube,Transport for London,False,4,inbound
Tufnell Park Underground Station,Northern,tube,Transport for London,False,5,inbound
Kentish Town Underground Station,Northern,tube,Transport for London,False,6,inbound
Camden Town Underground Station,Northern,tube,Transport for London,False,7,inbound
Camden Town Underground Station,Northern,tube,Transport for London,False,1,inbound
Mornington Crescent Underground Station,Northern,tube,Transport for London,False,2,inbound
Euston Underground Station,Northern,tube,Transport for London,False,3,inbound
Euston Underground Station,Northern,tube,Transport for London,False,1,inbound
Warren Street Underground Station,Northern,tube,Transport for London,False,2,inbound
Goodge Street Underground Station,Northern,tube,Transport for London,False,3,inbound
Tottenham Court Road Underground Station,Northern,tube,Transport for London,False,4,inbound
Leicester Square Underground Station,Northern,tube,Transport for London,False,5,inbound
Charing Cross Underground Station,Northern,tube,Transport for London,False,6,inbound
Embankment Underground Station,Northern,tube,Transport for London,False,7,inbound
Waterloo Underground Station,Northern,tube,Transport for London,False,8,inbound
Kennington Underground Station,Northern,tube,Transport for London,False,9,inbound
Kennington Underground Station,Northern,tube,Transport for London,False,1,inbound
Oval Underground Station,Northern,tube,Transport for London,False,2,inbound
Stockwell Underground Station,Northern,tube,Transport for London,False,3,inbound
Clapham North Underground Station,Northern,tube,Transport for London,False,4,inbound
Clapham Common Underground Station,Northern,tube,Transport for London,False,5,inbound
Clapham South Underground Station,Northern,tube,Transport for London,False,6,inbound
Balham Underground Station,Northern,tube,Transport for London,False,7,inbound
Tooting Bec Underground Station,Northern,tube,Transport for London,False,8,inbound
Tooting Broadway Underground Station,Northern,tube,Transport for London,False,9,inbound
Colliers Wood Underground Station,Northern,tube,Transport for London,False,10,inbound
South Wimbledon Underground Station,Northern,tube,Transport for London,False,11,inbound
Morden Underground Station,Northern,tube,Transport for London,False,12,inbound
Camden Town Underground Station,Northern,tube,Transport for London,False,1,inbound
Euston Underground Station,Northern,tube,Transport for London,False,2,inbound
Euston Underground Station,Northern,tube,Transport for London,False,1,inbound
King's Cross St. Pancras Underground Station,Northern,tube,Transport for London,False,2,inbound
Angel Underground Station,Northern,tube,Transport for London,False,3,inbound
Old Street Underground Station,Northern,tube,Transport for London,False,4,inbound
Moorgate Underground Station,Northern,tube,Transport for London,False,5,inbound
Bank Underground Station,Northern,tube,Transport for London,False,6,inbound
London Bridge Underground Station,Northern,tube,Transport for London,False,7,inbound
Borough Underground Station,Northern,tube,Transport for London,False,8,inbound
Elephant & Castle Underground Station,Northern,tube,Transport for London,False,9,inbound
Kennington Underground Station,Northern,tube,Transport for London,False,10,inbound
Morden Underground Station,Northern,tube,Transport for London,False,1,outbound
South Wimbledon Underground Station,Northern,tube,Transport for London,False,2,outbound
Colliers Wood Underground Station,Northern,tube,Transport for London,False,3,outbound
Tooting Broadway Underground Station,Northern,tube,Transport for London,False,4,outbound
Tooting Bec Underground Station,Northern,tube,Transport for London,False,5,outbound
Balham Underground Station,Northern,tube,Transport for London,False,6,outbound
Clapham South Underground Station,Northern,tube,Transport for London,False,7,outbound
Clapham Common Underground Station,Northern,tube,Transport for London,False,8,outbound
Clapham North Underground Station,Northern,tube,Transport for London,False,9,outbound
Stockwell Underground Station,Northern,tube,Transport for London,False,10,outbound
Oval Underground Station,Northern,tube,Transport for London,False,11,outbound
Kennington Underground Station,Northern,tube,Transport for London,False,12,outbound
Kennington Underground Station,Northern,tube,Transport for London,False,1,outbound
Waterloo Underground Station,Northern,tube,Transport for London,False,2,outbound
Embankment Underground Station,Northern,tube,Transport for London,False,3,outbound
Charing Cross Underground Station,Northern,tube,Transport for London,False,4,outbound
Leicester Square Underground Station,Northern,tube,Transport for London,False,5,outbound
Tottenham Court Road Underground Station,Northern,tube,Transport for London,False,6,outbound
Goodge Street Underground Station,Northern,tube,Transport for London,False,7,outbound
Warren Street Underground Station,Northern,tube,Transport for London,False,8,outbound
Euston Underground Station,Northern,tube,Transport for London,False,9,outbound
Euston Underground Station,Northern,tube,Transport for London,False,1,outbound
Mornington Crescent Underground Station,Northern,tube,Transport for London,False,2,outbound
Camden Town Underground Station,Northern,tube,Transport for London,False,3,outbound
Camden Town Underground Station,Northern,tube,Transport for London,False,1,outbound
Kentish Town Underground Station,Northern,tube,Transport for London,False,2,outbound
Tufnell Park Underground Station,Northern,tube,Transport for London,False,3,outbound
Archway Underground Station,Northern,tube,Transport for London,False,4,outbound
Highgate Underground Station,Northern,tube,Transport for London,False,5,outbound
East Finchley Underground Station,Northern,tube,Transport for London,False,6,outbound
Finchley Central Underground Station,Northern,tube,Transport for London,False,7,outbound
Finchley Central Underground Station,Northern,tube,Transport for London,False,1,outbound
West Finchley Underground Station,Northern,tube,Transport for London,False,2,outbound
Woodside Park Underground Station,Northern,tube,Transport for London,False,3,outbound
Totteridge & Whetstone Underground Station,Northern,tube,Transport for London,False,4,outbound
High Barnet Underground Station,Northern,tube,Transport for London,False,5,outbound
Kennington Underground Station,Northern,tube,Transport for London,False,1,outbound
Elephant & Castle Underground Station,Northern,tube,Transport for London,False,2,outbound
Borough Underground Station,Northern,tube,Transport for London,False,3,outbound
London Bridge Underground Station,Northern,tube,Transport for London,False,4,outbound
Bank Underground Station,Northern,tube,Transport for London,False,5,outbound
Moorgate Underground Station,Northern,tube,Transport for London,False,6,outbound
Old Street Underground Station,Northern,tube,Transport for London,False,7,outbound
Angel Underground Station,Northern,tube,Transport for London,False,8,outbound
King's Cross St. Pancras Underground Station,Northern,tube,Transport for London,False,9,outbound
Euston Underground Station,Northern,tube,Transport for London,False,10,outbound
Euston Underground Station,Northern,tube,Transport for London,False,1,outbound
Camden Town Underground Station,Northern,tube,Transport for London,False,2,outbound
Edgware Underground Station,Northern,tube,Transport for London,False,1,inbound
Burnt Oak Underground Station,Northern,tube,Transport for London,False,2,inbound
Colindale Underground Station,Northern,tube,Transport for London,False,3,inbound
Hendon Central Underground Station,Northern,tube,Transport for London,False,4,inbound
Brent Cross Underground Station,Northern,tube,Transport for London,False,5,inbound
Golders Green Underground Station,Northern,tube,Transport for London,False,6,inbound
Hampstead Underground Station,Northern,tube,Transport for London,False,7,inbound
Belsize Park Underground Station,Northern,tube,Transport for London,False,8,inbound
Chalk Farm Underground Station,Northern,tube,Transport for London,False,9,inbound
Camden Town Underground Station,Northern,tube,Transport for London,False,10,inbound
Camden Town Underground Station,Northern,tube,Transport for London,False,1,outbound
Chalk Farm Underground Station,Northern,tube,Transport for London,False,2,outbound
Belsize Park Underground Station,Northern,tube,Transport for London,False,3,outbound
Hampstead Underground Station,Northern,tube,Transport for London,False,4,outbound
Golders Green Underground Station,Northern,tube,Transport for London,False,5,outbound
Brent Cross Underground Station,Northern,tube,Transport for London,False,6,outbound
Hendon Central Underground Station,Northern,tube,Transport for London,False,7,outbound
Colindale Underground Station,Northern,tube,Transport for London,False,8,outbound
Burnt Oak Underground Station,Northern,tube,Transport for London,False,9,outbound
Edgware Underground Station,Northern,tube,Transport for London,False,10,outbound
Mill Hill East Underground Station,Northern,tube,Transport for London,False,1,inbound
Finchley Central Underground Station,Northern,tube,Transport for London,False,2,inbound
Finchley Central Underground Station,Northern,tube,Transport for London,False,1,outbound
Mill Hill East Underground Station,Northern,tube,Transport for London,False,2,outbound
Kennington Underground Station,Northern,tube,Transport for London,False,1,inbound
Nine Elms Underground Station,Northern,tube,Transport for London,False,2,inbound
Battersea Power Station Underground Station,Northern,tube,Transport for London,False,3,inbound
Battersea Power Station Underground Station,Northern,tube,Transport for London,False,1,outbound
Nine Elms Underground Station,Northern,tube,Transport for London,False,2,outbound
Kennington Underground Station,Northern,tube,Transport for London,False,3,outbound
Cockfosters Underground Station,Piccadilly,tube,Transport for London,False,1,inbound
Oakwood Underground Station,Piccadilly,tube,Transport for London,False,2,inbound
Southgate Underground Station,Piccadilly,tube,Transport for London,False,3,inbound
Arnos Grove Underground Station,Piccadilly,tube,Transport for London,False,4,inbound
Bounds Green Underground Station,Piccadilly,tube,Transport for London,False,5,inbound
Wood Green Underground Station,Piccadilly,tube,Transport for London,False,6,inbound
Turnpike Lane Underground Station,Piccadilly,tube,Transport for London,False,7,inbound
Manor House Underground Station,Piccadilly,tube,Transport for London,False,8,inbound
Finsbury Park Underground Station,Piccadilly,tube,Transport for London,False,9,inbound
Arsenal Underground Station,Piccadilly,tube,Transport for London,False,10,inbound
Holloway Road Underground Station,Piccadilly,tube,Transport for London,False,11,inbound
Caledonian Road Underground Station,Piccadilly,tube,Transport for London,False,12,inbound
King's Cross St. Pancras Underground Station,Piccadilly,tube,Transport for London,False,13,inbound
Russell Square Underground Station,Piccadilly,tube,Transport for London,False,14,inbound
Holborn Underground Station,Piccadilly,tube,Transport for London,False,15,inbound
Covent Garden Underground Station,Piccadilly,tube,Transport for London,False,16,inbound
Leicester Square Underground Station,Piccadilly,tube,Transport for London,False,17,inbound
Piccadilly Circus Underground Station,Piccadilly,tube,Transport for London,False,18,inbound
Green Park Underground Station,Piccadilly,tube,Transport for London,False,19,inbound
Hyde Park Corner Underground Station,Piccadilly,tube,Transport for London,False,20,inbound
Knightsbridge Underground Station,Piccadilly,tube,Transport for London,False,21,inbound
South Kensington Underground Station,Piccadilly,tube,Transport for London,False,22,inbound
Gloucester Road Underground Station,Piccadilly,tube,Transport for London,False,23,inbound
Earl's Court Underground Station,Piccadilly,tube,Transport for London,False,24,inbound
Barons Court Underground Station,Piccadilly,tube,Transport for London,False,25,inbound
Hammersmith (Dist&Picc Line) Underground Station,Piccadilly,tube,Transport for London,False,26,inbound
Turnham Green Underground Station,Piccadilly,tube,Transport for London,False,27,inbound
Acton Town Underground Station,Piccadilly,tube,Transport for London,False,28,inbound
Acton Town Underground Station,Piccadilly,tube,Transport for London,False,1,inbound
Ealing Common Underground Station,Piccadilly,tube,Transport for London,False,2,inbound
North Ealing Underground Station,Piccadilly,tube,Transport for London,False,3,inbound
Park Royal Underground Station,Piccadilly,tube,Transport for London,False,4,inbound
Alperton Underground Station,Piccadilly,tube,Transport for London,False,5,inbound
Sudbury Town Underground Station,Piccadilly,tube,Transport for London,False,6,inbound
Sudbury Hill Underground Station,Piccadilly,tube,Transport for London,False,7,inbound
South Harrow Underground Station,Piccadilly,tube,Transport for London,False,8,inbound
Rayners Lane Underground Station,Piccadilly,tube,Transport for London,False,9,inbound
Eastcote Underground Station,Piccadilly,tube,Transport for London,False,10,inbound
Ruislip Manor Underground Station,Piccadilly,tube,Transport for London,False,11,inbound
Ruislip Underground Station,Piccadilly,tube,Transport for London,False,12,inbound
Ickenham Underground Station,Piccadilly,tube,Transport for London,False,13,inbound
Hillingdon Underground Station,Piccadilly,tube,Transport for London,False,14,inbound
Uxbridge Underground Station,Piccadilly,tube,Transport for London,False,15,inbound
Uxbridge Underground Station,Piccadilly,tube,Transport for London,False,1,outbound
Hillingdon Underground Station,Piccadilly,tube,Transport for London,False,2,outbound
Ickenham Underground Station,Piccadilly,tube,Transport for London,False,3,outbound
Ruislip Underground Station,Piccadilly,tube,Transport for London,False,4,outbound
Ruislip Manor Underground Station,Piccadilly,tube,Transport for London,False,5,outbound
Eastcote Underground Station,Piccadilly,tube,Transport for London,False,6,outbound
Rayners Lane Underground Station,Piccadilly,tube,Transport for London,False,7,outbound
South Harrow Underground Station,Piccadilly,tube,Transport for London,False,8,outbound
Sudbury Hill Underground Station,Piccadilly,tube,Transport for London,False,9,outbound
Sudbury Town Underground Station,Piccadilly,tube,Transport for London,False,10,outbound
Alperton Underground Station,Piccadilly,tube,Transport for London,False,11,outbound
Park Royal Underground Station,Piccadilly,tube,Transport for London,False,12,outbound
North Ealing Underground Station,Piccadilly,tube,Transport for London,False,13,outbound
Ealing Common Underground Station,Piccadilly,tube,Transport for London,False,14,outbound
Acton Town Underground Station,Piccadilly,tube,Transport for London,False,15,outbound
Acton Town Underground Station,Piccadilly,tube,Transport for London,False,1,outbound
Turnham Green Underground Station,Piccadilly,tube,Transport for London,False,2,outbound
Hammersmith (Dist&Picc Line) Underground Station,Piccadilly,tube,Transport for London,False,3,outbound
Barons Court Underground Station,Piccadilly,tube,Transport for London,False,4,outbound
Earl's Court Underground Station,Piccadilly,tube,Transport for London,False,5,outbound
Gloucester Road Underground Station,Piccadilly,tube,Transport for London,False,6,outbound
South Kensington Underground Station,Piccadilly,tube,Transport for London,False,7,outbound
Knightsbridge Underground Station,Piccadilly,tube,Transport for London,False,8,outbound
Hyde Park Corner Underground Station,Piccadilly,tube,Transport for London,False,9,outbound
Green Park Underground Station,Piccadilly,tube,Transport for London,False,10,outbound
Piccadilly Circus Underground Station,Piccadilly,tube,Transport for London,False,11,outbound
Leicester Square Underground Station,Piccadilly,tube,Transport for London,False,12,outbound
Covent Garden Underground Station,Piccadilly,tube,Transport for London,False,13,outbound
Holborn Underground Station,Piccadilly,tube,Transport for London,False,14,outbound
Russell Square Underground Station,Piccadilly,tube,Transport for London,False,15,outbound
King's Cross St. Pancras Underground Station,Piccadilly,tube,Transport for London,False,16,outbound
Caledonian Road Underground Station,Piccadilly,tube,Transport for London,False,17,outbound
Holloway Road Underground Station,Piccadilly,tube,Transport for London,False,18,outbound
Arsenal Underground Station,Piccadilly,tube,Transport for London,False,19,outbound
Finsbury Park Underground Station,Piccadilly,tube,Transport for London,False,20,outbound
Manor House Underground Station,Piccadilly,tube,Transport for London,False,21,outbound
Turnpike Lane Underground Station,Piccadilly,tube,Transport for London,False,22,outbound
Wood Green Underground Station,Piccadilly,tube,Transport for London,False,23,outbound
Bounds Green Underground Station,Piccadilly,tube,Transport for London,False,24,outbound
Arnos Grove Underground Station,Piccadilly,tube,Transport for London,False,25,outbound
Southgate Underground Station,Piccadilly,tube,Transport for London,False,26,outbound
Oakwood Underground Station,Piccadilly,tube,Transport for London,False,27,outbound
Cockfosters Underground Station,Piccadilly,tube,Transport for London,False,28,outbound
Acton Town Underground Station,Piccadilly,tube,Transport for London,False,1,inbound
South Ealing Underground Station,Piccadilly,tube,Transport for London,False,2,inbound
Northfields Underground Station,Piccadilly,tube,Transport for London,False,3,inbound
Boston Manor Underground Station,Piccadilly,tube,Transport for London,False,4,inbound
Osterley Underground Station,Piccadilly,tube,Transport for London,False,5,inbound
Hounslow East Underground Station,Piccadilly,tube,Transport for London,False,6,inbound
Hounslow Central Underground Station,Piccadilly,tube,Transport for London,False,7,inbound
Hounslow West Underground Station,Piccadilly,tube,Transport for London,False,8,inbound
Hatton Cross Underground Station,Piccadilly,tube,Transport for London,False,9,inbound
Hatton Cross Underground Station,Piccadilly,tube,Transport for London,False,1,inbound
Heathrow Terminals 2 & 3 Underground Station,Piccadilly,tube,Transport for London,False,2,inbound
Heathrow Terminal 5 Underground Station,Piccadilly,tube,Transport for London,False,3,inbound
Heathrow Terminal 4 Underground Station,Piccadilly,tube,Transport for London,False,1,outbound
Heathrow Terminals 2 & 3 Underground Station,Piccadilly,tube,Transport for London,False,2,outbound
Heathrow Terminals 2 & 3 Underground Station,Piccadilly,tube,Transport for London,False,1,outbound
Hatton Cross Underground Station,Piccadilly,tube,Transport for London,False,2,outbound
Hounslow West Underground Station,Piccadilly,tube,Transport for London,False,3,outbound
Hounslow Central Underground Station,Piccadilly,tube,Transport for London,False,4,outbound
Hounslow East Underground Station,Piccadilly,tube,Transport for London,False,5,outbound
Osterley Underground Station,Piccadilly,tube,Transport for London,False,6,outbound
Boston Manor Underground Station,Piccadilly,tube,Transport for London,False,7,outbound
Northfields Underground Station,Piccadilly,tube,Transport for London,False,8,outbound
South Ealing Underground Station,Piccadilly,tube,Transport for London,False,9,outbound
Acton Town Underground Station,Piccadilly,tube,Transport for London,False,10,outbound
Heathrow Terminal 5 Underground Station,Piccadilly,tube,Transport for London,False,1,outbound
Heathrow Terminals 2 & 3 Underground Station,Piccadilly,tube,Transport for London,False,2,outbound
Hatton Cross Underground Station,Piccadilly,tube,Transport for London,False,1,inbound
Heathrow Terminal 4 Underground Station,Piccadilly,tube,Transport for London,False,2,inbound
Walthamstow Central Underground Station,Victoria,tube,Transport for London,False,1,inbound
Blackhorse Road Underground Station,Victoria,tube,Transport for London,False,2,inbound
Tottenham Hale Underground Station,Victoria,tube,Transport for London,False,3,inbound
Seven Sisters Underground Station,Victoria,tube,Transport for London,False,4,inbound
Finsbury Park Underground Station,Victoria,tube,Transport for London,False,5,inbound
Highbury & Islington Underground Station,Victoria,tube,Transport for London,False,6,inbound
King's Cross St. Pancras Underground Station,Victoria,tube,Transport for London,False,7,inbound
Euston Underground Station,Victoria,tube,Transport for London,False,8,inbound
Warren Street Underground Station,Victoria,tube,Transport for London,False,9,inbound
Oxford Circus Underground Station,Victoria,tube,Transport for London,False,10,inbound
Green Park Underground Station,Victoria,tube,Transport for London,False,11,inbound
Victoria Underground Station,Victoria,tube,Transport for London,False,12,inbound
Pimlico Underground Station,Victoria,tube,Transport for London,False,13,inbound
Vauxhall Underground Station,Victoria,tube,Transport for London,False,14,inbound
Stockwell Underground Station,Victoria,tube,Transport for London,False,15,inbound
Brixton Underground Station,Victoria,tube,Transport for London,False,16,inbound
Brixton Underground Station,Victoria,tube,Transport for London,False,1,outbound
Stockwell Underground Station,Victoria,tube,Transport for London,False,2,outbound
Vauxhall Underground Station,Victoria,tube,Transport for London,False,3,outbound
Pimlico Underground Station,Victoria,tube,Transport for London,False,4,outbound
Victoria Underground Station,Victoria,tube,Transport for London,False,5,outbound
Green Park Underground Station,Victoria,tube,Transport for London,False,6,outbound
Oxford Circus Underground Station,Victoria,tube,Transport for London,False,7,outbound
Warren Street Underground Station,Victoria,tube,Transport for London,False,8,outbound
Euston Underground Station,Victoria,tube,Transport for London,False,9,outbound
King's Cross St. Pancras Underground Station,Victoria,tube,Transport for London,False,10,outbound
Highbury & Islington Underground Station,Victoria,tube,Transport for London,False,11,outbound
Finsbury Park Underground Station,Victoria,tube,Transport for London,False,12,outbound
Seven Sisters Underground Station,Victoria,tube,Transport for London,False,13,outbound
Tottenham Hale Underground Station,Victoria,tube,Transport for London,False,14,outbound
Blackhorse Road Underground Station,Victoria,tube,Transport for London,False,15,outbound
Walthamstow Central Underground Station,Victoria,tube,Transport for London,False,16,outbound
Bank Underground Station,Waterloo & City,tube,Transport for London,False,1,inbound
Waterloo Underground Station,Waterloo & City,tube,Transport for London,False,2,inbound
Waterloo Underground Station,Waterloo & City,tube,Transport for London,False,1,outbound
Bank Underground Station,Waterloo & City,tube,Transport for London,False,2,outbound
Upminster Rail Station,Liberty,overground,Transport for London,False,1,inbound
Emerson Park Rail Station,Liberty,overground,Transport for London,False,2,inbound
Romford Rail Station,Liberty,overground,Transport for London,False,3,inbound
Romford Rail Station,Liberty,overground,Transport for London,False,1,outbound
Emerson Park Rail Station,Liberty,overground,Transport for London,False,2,outbound
Upminster Rail Station,Liberty,overground,Transport for London,False,3,outbound
Watford Junction Rail Station,Lioness,overground,Transport for London,False,1,inbound
Watford High Street Rail Station,Lioness,overground,Transport for London,False,2,inbound
Bushey Rail Station,Lioness,overground,Transport for London,False,3,inbound
Carpenders Park Rail Station,Lioness,overground,Transport for London,False,4,inbound
Hatch End Rail Station,Lioness,overground,Transport for London,False,5,inbound
Headstone Lane Rail Station,Lioness,overground,Transport for London,False,6,inbound
Harrow & Wealdstone Rail Station,Lioness,overground,Transport for London,False,7,inbound
Kenton Rail Station,Lioness,overground,Transport for London,False,8,inbound
South Kenton Rail Station,Lioness,overground,Transport for London,False,9,inbound
North Wembley Rail Station,Lioness,overground,Transport for London,False,10,inbound
Wembley Central Rail Station,Lioness,overground,Transport for London,False,11,inbound
Stonebridge Park Rail Station,Lioness,overground,Transport for London,False,12,inbound
Harlesden Rail Station,Lioness,overground,Transport for London,False,13,inbound
Willesden Junction Rail Station,Lioness,overground,Transport for London,False,14,inbound
Kensal Green Rail Station,Lioness,overground,Transport for London,False,15,inbound
Queens Park (London) Rail Station,Lioness,overground,Transport for London,False,16,inbound
Kilburn High Road Rail Station,Lioness,overground,Transport for London,False,17,inbound
South Hampstead Rail Station,Lioness,overground,Transport for London,False,18,inbound
London Euston Rail Station,Lioness,overground,Transport for London,False,19,inbound
London Euston Rail Station,Lioness,overground,Transport for London,False,1,outbound
South Hampstead Rail Station,Lioness,overground,Transport for London,False,2,outbound
Kilburn High Road Rail Station,Lioness,overground,Transport for London,False,3,outbound
Queens Park (London) Rail Station,Lioness,overground,Transport for London,False,4,outbound
Kensal Green Rail Station,Lioness,overground,Transport for London,False,5,outbound
Willesden Junction Rail Station,Lioness,overground,Transport for London,False,6,outbound
Harlesden Rail Station,Lioness,overground,Transport for London,False,7,outbound
Stonebridge Park Rail Station,Lioness,overground,Transport for London,False,8,outbound
Wembley Central Rail Station,Lioness,overground,Transport for London,False,9,outbound
North Wembley Rail Station,Lioness,overground,Transport for London,False,10,outbound
South Kenton Rail Station,Lioness,overground,Transport for London,False,11,outbound
Kenton Rail Station,Lioness,overground,Transport for London,False,12,outbound
Harrow & Wealdstone Rail Station,Lioness,overground,Transport for London,False,13,outbound
Headstone Lane Rail Station,Lioness,overground,Transport for London,False,14,outbound
Hatch End Rail Station,Lioness,overground,Transport for London,False,15,outbound
Carpenders Park Rail Station,Lioness,overground,Transport for London,False,16,outbound
Bushey Rail Station,Lioness,overground,Transport for London,False,17,outbound
Watford High Street Rail Station,Lioness,overground,Transport for London,False,18,outbound
Watford Junction Rail Station,Lioness,overground,Transport for London,False,19,outbound
Richmond (London) Rail Station,Mildmay,overground,Transport for London,False,1,inbound
Kew Gardens Rail Station,Mildmay,overground,Transport for London,False,2,inbound
Gunnersbury Rail Station,Mildmay,overground,Transport for London,False,3,inbound
South Acton Rail Station,Mildmay,overground,Transport for London,False,4,inbound
Acton Central Rail Station,Mildmay,overground,Transport for London,False,5,inbound
Willesden Junction Rail Station,Mildmay,overground,Transport for London,False,6,inbound
Willesden Junction Rail Station,Mildmay,overground,Transport for London,False,1,inbound
Kensal Rise Rail Station,Mildmay,overground,Transport for London,False,2,inbound
Brondesbury Park Rail Station,Mildmay,overground,Transport for London,False,3,inbound
Brondesbury Rail Station,Mildmay,overground,Transport for London,False,4,inbound
West Hampstead Rail Station,Mildmay,overground,Transport for London,False,5,inbound
Finchley Road & Frognal Rail Station,Mildmay,overground,Transport for London,False,6,inbound
Hampstead Heath Rail Station,Mildmay,overground,Transport for London,False,7,inbound
Gospel Oak Rail Station,Mildmay,overground,Transport for London,False,8,inbound
Kentish Town West Rail Station,Mildmay,overground,Transport for London,False,9,inbound
Camden Road Rail Station,Mildmay,overground,Transport for London,False,10,inbound
Caledonian Road & Barnsbury Rail Station,Mildmay,overground,Transport for London,False,11,inbound
