naptan_id,station_name,modes,zone,lat,lon
4900ZZLUGTR1,Gloucester Road Station,tube,1,51.49433,-0.18258
4900ZZLUHBN1,Holborn Station,tube,1,51.51736,-0.11999
4900ZZLUHBT1,High Barnet Station,tube,5,51.65047,-0.19442
4900ZZLUHCH1,Hornchurch Station,tube,6,51.5541,0.21925
4900ZZLUHCL1,Hendon Central Station,tube,3,51.58298,-0.22694
4900ZZLUHGD1,Hillingdon Station,tube,6,51.55372,-0.44813
4900ZZLUHGR1,Hanger Lane Station,tube,3,51.53013,-0.29275
4900ZZLUHGT1,Highgate Station,tube,3,51.57781,-0.14553
4900ZZLUHNX1,Hatton Cross Station,tube,5,51.46653,-0.42297
4900ZZLUHPC1,Hyde Park Corner,tube,1,51.50493,-0.15203
4900ZZLUHPC2,Hyde Park Corner Station,tube,1,51.50308,-0.15142
4900ZZLUHPK1,Holland Park Station,tube,2,51.50742,-0.20564
4900ZZLUHPK2,Holland Park,tube,2,51.50728,-0.20562
4900ZZLUHRC1,Heathrow Terminals 2 & 3,tube,6,51.47235,-0.45198
4900ZZLUHSC1,Hammersmith Stn / H&c and Circle Lines,tube,2,51.49339,-0.22503
4900ZZLUHSD1,Hammersmith (District and Piccadilly) Station,tube,2,51.4926,-0.22424
4900ZZLUHSK1,High Street Kensington Station,tube,1,51.50103,-0.19292
4900ZZLUHTD1,Hampstead Station,tube,2,51.55663,-0.17836
4900ZZLUHWC1,Hounslow Central Station,tube,4,51.4712,-0.36701
4900ZZLUHWE1,Hounslow East Station,tube,4,51.47331,-0.3568
4900ZZLUHWT1,Hounslow West Station,tube,5,51.47305,-0.38564
4900ZZLUHWY1,Holloway Road Station,tube,2,51.5529,-0.11274
4900ZZLUICK1,Ickenham Station,tube,6,51.56202,-0.4419
4900ZZLUKBN1,Kilburn Station,tube,2,51.54693,-0.20409
4900ZZLUKBY1,Kingsbury Station,tube,4,51.58498,-0.2787
4900ZZLUKNB1,Knightsbridge Station,tube,1,51.50196,-0.16034
4900ZZLUKNG1,Kennington Station,tube,1,51.48834,-0.1058
4900ZZLUKPK1,Kilburn Park Station,tube,2,51.53505,-0.19358
4900ZZLUKSX1,King's Cross Station,tube,1,51.5302,-0.12385
4900ZZLULAD1,Ladbroke Grove Station,tube,2,51.51742,-0.21007
4900ZZLULBN1,Lambeth North Station,tube,1,51.49885,-0.11221
4900ZZLULGT1,Lancaster Gate Station,tube,1,51.51168,-0.17542
4900ZZLULRD1,Latimer Road Station,tube,2,51.5137,-0.21763
4900ZZLULSQ1,Leicester Square Station,tube,1,51.51128,-0.12823
4900ZZLULVT3,Primrose Street,tube,1,51.51714,-0.08276
4900ZZLULVT4,Liverpool Street Station,"elizabeth-line, national-rail, overground, tube",1,51.5178,-0.08156
4900ZZLULYN1,Leyton Station,tube,3,51.55649,-0.00582
4900ZZLULYS1,Leytonstone Station,tube,3,51.56836,0.00719
4900ZZLUMBA1,Marble Arch Station,tube,1,51.51352,-0.16078
4900ZZLUMDN1,Morden Station,tube,4,51.40203,-0.19469
4900ZZLUMED1,Mile End Station,tube,2,51.52525,-0.0334
4900ZZLUMHL1,Mill Hill East Station,tube,4,51.60827,-0.20977
4900ZZLUMMT1,Monument Station,tube,1,51.51051,-0.08596
4900ZZLUMRH1,Manor House Station,tube,2,51.57108,-0.09631
4900ZZLUMSH1,Mansion House Station,tube,1,51.51216,-0.09389
4900ZZLUMTC1,Mornington Crescent Station,tube,2,51.53413,-0.13913
4900ZZLUMVL1,Maida Vale Station,tube,2,51.52981,-0.18587
4900ZZLUNAN1,North Acton Station,tube,2,51.52346,-0.25976
4900ZZLUNBP1,Newbury Park Station,tube,4,51.57556,0.09065
4900ZZLUNDN1,Neasden Station,tube,3,51.55402,-0.24976
4900ZZLUNEN1,North Ealing Station,tube,3,51.51755,-0.28915
4900ZZLUNFD1,Northfields Station,tube,3,51.49927,-0.31455
4900ZZLUNGW1,North Greenwich,tube,2,51.50026,0.00462
4900ZZLUNHA1,North Harrow Station,tube,5,51.58492,-0.36202
4900ZZLUNHG1,Notting Hill Gate Station,tube,1,51.50912,-0.19664
4900ZZLUNHT1,Northolt Station,tube,5,51.54819,-0.36807
4900ZZLUNKP1,Northwick Park Station,tube,4,51.57871,-0.31818
4900ZZLUNOW1,Northwood Station,tube,6,51.61116,-0.4237
4900ZZLUNWH1,Northwood Hills Station,tube,6,51.60078,-0.40947
4900ZZLUOAK1,Oakwood Station,tube,5,51.64763,-0.13208
4900ZZLUOSY1,Osterley Station,tube,4,51.48089,-0.35162
4900ZZLUOVL1,Oval Station,tube,2,51.48193,-0.11249
4900ZZLUOXC1,Oxford Circus Station,tube,1,51.51537,-0.14217
4900ZZLUPAC1,Paddington,"elizabeth-line, tube",1,51.51549,-0.1757
4900ZZLUPAH1,Paddington (H&C Line),tube,1,51.51687,-0.17722
4900ZZLUPCC1,Piccadilly Circus,tube,1,51.51023,-0.1352
4900ZZLUPCO1,Pimlico Station,tube,1,51.48896,-0.13372
4900ZZLUPKR1,Park Royal Station,tube,3,51.52707,-0.28417
4900ZZLUPLW1,Plaistow Station,tube,3,51.53128,0.01804
4900ZZLUPNR1,Pinner Station,tube,5,51.59301,-0.3811
